"ID";"Sub_ID1";"Sub_ID2";"Text"
"01";"0";"0";"Uservoting für neue gewünschte Datensätze"
"01";"1";"0";"Verzeichnis (noch nicht) veröffentlichter Daten"
"02";"0";"0";"OGD positiv verkaufen"
"02";"1";"0";"In der Schule anfangen"
"02";"2";"0";"nicht nur auf Opendata -0 Seiten auf die Nutzung hinweisen (Bsp Parlament -0 OD Logo bei normaler Websuchmaske)"
"02";"3";"0";"Bedeutung über Initiativen (z B USA/Deutschland) aufklären"
"03";"0";"0";"Freedom of Information Act Austria"
"03";"1";"0";"Österreichweite Petition & Flashmob für OGD"
"03";"2";"0";"ist in Entwicklung"
"03";"3";"0";"ist das nicht schon per se ein Ziel?"
"03";"4";"0";"Freihheit der Information ohne Verletzung der Persönlichkeitsrechte"
"03";"4";"1";"Grenzen definieren"
"03";"4";"2";"Bürgern Angst nehmen"
"04";"0";"0";"Datenzugang vereinfachen"
"04";"1";"0";"Rohdaten wenn möglich in verschiedenen Formen"
"04";"2";"0";"wenn Rohdaten API wenn nötig (zB Ausschnitt heruntergeladen werden können)"
"04";"3";"0";"Tool zur Eingabe von OGD Daten"
"04";"4";"0";"OGD Enwickler-Community am Beispiel-Google"
"04";"4";"1";"freie Frameworks 0 Source Code"
"04";"5";"0";"API First"
"04";"5";"1";"weg von Files (Bsp Amazon)"
"04";"6";"0";"Einfache Gestaltung um auch nicht OGD-affinen Personen die Dateneingabe zu ermöglichen"
"04";"7";"0";"Vorhandene Tools publizieren"
"05";"0";"0";"Österreichweite OGD Smartphone-App mit LocationBasedService"
"05";"1";"0";"die unzähligen LBS-Dienste unter der OGD zusammenfassen"
"05";"2";"0";"Erstellung App durch Community ev mit Wettbewerb"
"05";"3";"0";"Freigabe von Source-Code für App-EntwicklerInnen (zB Routine für Abfragen/Darstellung von Geodata)"
"05";"4";"0";"Apps 4 Austria"
"05";"5";"0";"nur OGD-Apps auf OGD Plattform"
"06";"0";"0";"Inforveranstaltungen in Abteilungen zur Bewusstseinserweiterung"
"06";"1";"0";"Schneeballeffekte nutzen, freundliche Nutzer in den Vordergrund rücken"
"06";"2";"0";"wozu müssen wir die Erfüllung einer Bottom-Up Forderung auch noch bewerben"
"06";"3";"0";"weil es in der Breite noch keine Bottom-Up Forderung ist"
"06";"4";"0";"Gibt es eigentlich schon eine bundesweite Direktive?"
"06";"5";"0";"Nicht nur für eine kleine, wenig wachsende Community"
"07";"0";"0";"Öffentliches Qualitätsmonetoring & Ticketing"
"07";"1";"0";"URLs & Qualität Metadaten"
"07";"2";"0";"absolute Notwendigkeit wenn es einen wirklichen Nutzen bringen soll"
"07";"3";"0";"Rückmeldungen öffentlich machen, wie bei Social Media Plattformen, damit Aufmerksamkeit!"
"07";"4";"0";"OGD-App erstellen für unterschiedliche Zielgruppen"
"07";"5";"0";"OGD-Appstore"
